Item,Category, Calories, Fat (g), Carb. (g), Fiber (g), Protein (g)
Roasted Turkey & Dill Havarti Sandwich,Food,600,32,47,6,32
Seared Steak & Cheddar Sandwich,Food,530,29,44,2,23
Slow-Roasted Ham & Beecher's Flagship Cheese Small Sandwich,Food,350,18,31,1,16
Smoked Mozzarella & Roasted Pepper Sandwich,Food,500,28,46,4,18
Turkey & Fire-Roasted Corn Salad,Food,560,29,53,7,24
Za'atar Chicken & Lemon Tahini Salad,Food,570,23,67,11,27
BBQ Chicken Protein Box,Food,420,16,49,5,22
Cheese & Fruit Protein Box,Food,450,27,34,4,20
Chicken Wrap Protein Box,Food,460,22,45,4,20
Eggs & Cheese Protein Box,Food,460,24,40,5,23
PB&J Protein Box,Food,520,26,53,5,20
Smoked Turkey Protein Box,Food,360,12,42,5,24
Birthday Cake Pop,Food,170,9,23,0,1
Chocolate Cake Pop,Food,160,8,23,1,2
Chocolate Chip Cookie Dough Cake Pop,Food,180,9,23,0,2
Pirate Cake Pop,Food,180,9,24,0,1
Bacon Gouda & Egg Breakfast Sandwich,Food,370,19,32,1,18
Certified Gluten-Free Breakfast Sandwich,Food,280,13,18,6,18
Classic Whole-Grain Oatmeal,Food,160,2.5,28,4,5
Double-Smoked Bacon Cheddar & Egg Sandwich,Food,490,27,40,1,21
Ham & Cheese Croissant,Food,320,17,28,1,14
Hearty Blueberry Oatmeal,Food,220,2.5,43,5,5
Reduced-Fat Turkey Bacon & Cage Free Egg White Breakfast Sandwich,Food,230,6,28,2,16
Sausage Cheddar & Egg Breakfast Sandwich,Food,500,28,41,1,15
Seared Steak Egg & Tomatillo Wrap,Food,410,18,43,2,21
Slow-Roasted Ham Swiss & Egg Breakfast Sandwich,Food,450,23,42,1,24
Sous Vide Egg Bites: Bacon & Gruyere,Food,310,22,9,0,19
Sous Vide Egg Bites: Egg White & Red Pepper,Food,170,7,13,1,13
Spicy Chorizo  Monterey Jack & Egg Breakfast Sandwich,Food,500,30,35,3,26
Spinach Feta & Cage Free Egg White Breakfast Wrap,Food,290,10,33,6,19
Ancho Chipotle Chicken Panini ,Food,500,19,57,4,26
Chicken & Quinoa Protein Bowl with Black Beans and Greens,Food,420,17,42,9,27
Chicken Artichoke on Ancient Grain Flatbread,Food,510,27,37,5,24
Chicken BLT Salad Sandwich,Food,470,25,35,3,21
Egg Salad Sandwich,Food,480,27,42,7,16
Homestyle Chicken & Double-Smoked Bacon,Food,480,17,57,3,23
Italian-Style Ham & Spicy Salami,Food,480,20,49,3,22
Lentils & Vegetable Protein Bowl with Brown Rice,Food,650,29,80,21,23
Roasted Tomato & Mozzarella Panini,Food,420,18,47,3,11
Turkey & Havarti Sandwich,Food,460,21,31,2,29
Turkey Pesto Panini,Food,560,23,55,3,34
Berry Trio Yogurt,Food,240,2.5,39,3,14
Fresh Blueberries and Honey Greek Yogurt Parfait,Food,240,2.5,42,2,14
Justin's Chocolate Hazelnut Butter,Food,180,14,12,3,4
Justin's Classic Almond Butter,Food,190,18,6,3,7
Lemon Chiffon Yogurt,Food,340,13,38,0,18
Organic Avocado (Spread),Food,90,8,5,4,1
Seasonal Fruit Blend,Food,90,0,24,4,1
Iced Coffee,Drinks,0,0,0,0,0
Nari  70 Cold Brew with Milk,Drinks,0,0,0,0,0
Blonde Roast,Drinks,5,0,0,0,1
Decaf Pike Place Roast,Drinks,5,0,0,0,1
Featured Dark Roast,Drinks,5,0,0,0,1
Iced Coffee,Drinks,5,0,0,0,0
Nari  70 Cold Brew,Drinks,5,0,0,0,0
Nitro Cold Brew,Drinks,5,0,0,0,0
Pike Place Roast,Drinks,5,0,0,0,1
Starbucks Iced Coffee Unsweetened,Drinks,10,0,2,0,1
Clover  Brewed Coffee,Drinks,10,0,0,0,1
Teavana  Shaken Iced Black Tea,Drinks,30,0,8,0,0
Teavana  Shaken Iced Green Tea,Drinks,30,0,8,0,0
Teavana Shaken Iced Passion Tango™ Tea,Drinks,30,0,8,0,0
Cool Lime Starbucks Refreshers™ Beverage,Drinks,45,0,11,0,0
Starbucks Doubleshot  on Ice Beverage,Drinks,45,1,5,0,3
Starbucks  Iced Coffee Light Sweetened,Drinks,50,0,11,0,1
Very Berry Hibiscus Starbucks Refreshers™ Beverage,Drinks,60,0,14,1,0
Tazo  Bottled Berry Blossom White,Drinks,60,0,15,0,0
Tazo  Bottled Organic Iced Black Tea,Drinks,60,0,15,0,0
Teavana  Shaken Iced Peach Green Tea,Drinks,60,0,15,0,0
Starbucks  Iced Coffee Caramel,Drinks,60,0,13,0,1
Tazo  Bottled Berry Blossom White,Drinks,60,0,15,0,0
Tazo  Bottled Organic Iced Black Tea,Drinks,60,0,15,0,0
Tazo  Bottled Iced Passion,Drinks,70,0,17,0,0
Teavana  Shaken Iced Black Tea Lemonade,Drinks,70,0,17,0,0
Teavana  Shaken Iced Green Tea Lemonade,Drinks,70,0,17,0,0
Tazo  Bottled Iced Passion,Drinks,70,0,17,0,0
Nitro Cold Brew with Sweet Cream,Drinks,70,5,5,0,1
Strawberry Acai Starbucks Refreshers™ Beverage,Drinks,80,0,18,1,0
Shaken Sweet Tea,Drinks,80,0,19,0,0
Teavana  Shaken Iced Passion Tango™ Tea Lemonade,Drinks,90,0,24,0,0
Starbucks Refreshers™ Raspberry Pomegranate,Drinks,90,0,27,0,0
Starbucks Refreshers™ Strawberry Lemonade,Drinks,90,0,27,0,0
Evolution Fresh™ Organic Ginger Limeade,Drinks,110,0,28,0,0
Vanilla Sweet Cream Cold Brew,Drinks,110,6,14,0,1
Coffee Light Frappuccino  Blended Coffee,Drinks,110,0,24,0,3
Tazo  Bottled Lemon Ginger,Drinks,120,0,31,0,0
Tazo  Bottled Organic Iced Green Tea,Drinks,120,0,31,0,0
Tazo  Bottled Lemon Ginger,Drinks,120,0,31,0,0
Tazo  Bottled Organic Iced Green Tea,Drinks,120,0,31,0,0
Cappuccino,Drinks,120,4,12,0,8
Iced Espresso Classics - Vanilla Latte,Drinks,130,2.5,21,0,5
Iced Espresso Classics - Caramel Macchiato,Drinks,130,2.5,21,0,5
Iced Espresso Classics - Vanilla Latte,Drinks,130,2.5,21,0,5
Iced Espresso Classics - Caramel Macchiato,Drinks,130,2.5,21,0,5
Iced Caff  Latte,Drinks,130,4.5,13,0,8
Iced Espresso Classics - Caffe Mocha,Drinks,140,2.5,23,0,5
Tazo  Bottled Black with Lemon,Drinks,140,0,35,0,0
Tazo  Bottled Brambleberry,Drinks,140,0,35,0,0
Tazo  Bottled Organic Black Lemonade,Drinks,140,0,35,0,0
Tazo  Bottled Plum Pomegranate,Drinks,140,0,35,0,0
Tazo  Bottled White Cranberry,Drinks,140,0,35,0,0
Iced Espresso Classics - Caffe Mocha,Drinks,140,2.5,23,0,5
Tazo  Bottled Black with Lemon,Drinks,140,0,35,0,0
Tazo  Bottled Brambleberry,Drinks,140,0,35,0,0
Tazo  Bottled Organic Black Lemonade,Drinks,140,0,35,0,0
Tazo  Bottled Plum Pomegranate,Drinks,140,0,35,0,0
Tazo  Bottled White Cranberry,Drinks,140,0,35,0,0
Mocha Light Frappuccino  Blended Coffee,Drinks,140,0.5,28,1,4
Tazo  Bottled Black Mango,Drinks,150,0,38,0,0
Tazo  Bottled Giant Peach,Drinks,150,0,37,0,0
Tazo  Bottled Tazoberry,Drinks,150,0,38,0,0
Tazo  Bottled Black Mango,Drinks,150,0,38,0,0
Tazo  Bottled Giant Peach,Drinks,150,0,37,0,0
Tazo  Bottled Tazoberry,Drinks,150,0,38,0,0
Flat White,Drinks,180,7,18,0,12
Caff  Latte,Drinks,190,7,19,0,13
Iced Vanilla Latte,Drinks,190,4,30,0,7
Latte Macchiato,Drinks,190,7,19,0,12
Latte Macchiato,Drinks,190,7,19,0,12
Starbucks  Doubleshot Protein Vanilla,Drinks,200,2.5,34,2,20
Iced Cinnamon Dolce Latte,Drinks,200,4,34,0,7
Cinnamon Dolce Cr me,Drinks,200,6,28,0,10
Vanilla Cr me,Drinks,200,6,28,0,10
Starbucks  Doubleshot Protein Dark Chocolate,Drinks,210,2.5,33,2,20
Iced Caff  Mocha,Drinks,230,6,36,4,9
Caramel Macchiato,Drinks,250,7,35,0,10
Coconutmilk Mocha Macchiato,Drinks,250,9,32,0,12
Iced Caramel Macchiato,Drinks,250,7,37,0,10
Vanilla Latte,Drinks,250,6,37,0,12
Cinnamon Dolce Latte,Drinks,260,6,40,0,11
Iced Coconutmilk Mocha Macchiato,Drinks,260,9,34,0,11
Mocha Frappuccino  Blended Coffee,Drinks,280,2.5,60,2,4
Caff  Mocha,Drinks,290,8,42,4,13
Iced White Chocolate Mocha,Drinks,300,8,47,0,10
Strawberry Smoothie,Drinks,300,2,60,7,16
Hot Chocolate,Drinks,320,9,47,4,14
Chocolate Smoothie,Drinks,320,5,53,8,20
Cinnamon Dolce Frappuccino  Blended Coffee,Drinks,350,4.5,64,0,15
White Chocolate Mocha,Drinks,360,11,53,0,14
Starbucks  Signature Hot Chocolate,Drinks,430,26,45,5,12
